run,dim,vars,xc1,dx,z1,z2,a1,a2,d1,d2,Ir,ex1,ex2,n1,n2,U,angle
0,5,xc1 dx a1 a2 d1,2.0,0.1,-0.01,-0.02,0.2,0.30543667473146147,2.0,2.0,-1.0,0,0,8,8,0.05007998579094963,[77.12229134]
1,5,xc1 dx a1 a2 d2,2.0,0.1,-0.01,-0.02,0.2,0.30543667473146147,2.0,2.0,-1.0,0,0,8,8,0.05007998579094963,[77.12229134]
2,5,xc1 dx a1 a2 ex1,2.0,0.10000010030898832,-0.01,-0.02,0.20000421547111918,0.20611311004103336,2.0,2.0,-1.0,0.9,0,1,1,5.866515633540359e-07,[55.99323553]
3,5,xc1 dx a1 a2 ex2,-0.7322450303252959,0.6211016040039252,-0.01,-0.02,0.5834753841063699,0.20710621754047553,2.0,2.0,-1.0,0,-0.4960050232639928,8,8,7.759845086337332e-11,[55.9980517]
4,5,xc1 dx a1 a2 Ir,-2.6648148238783684,0.1,-0.01,-0.02,0.3118996133368199,0.2,2.0,2.0,-1.0,0,0,8,8,0.05783985365987509,[9.81308536]
5,5,xc1 dx a1 d1 d2,-3.0,0.1,-0.01,-0.02,0.2584164083272216,0.2,2.0,2.0,-1.0,0,0,8,8,0.0033625052765264753,[55.07684346]
6,5,xc1 dx a1 d1 ex1,1.7597149500200604,0.1,-0.01,-0.02,0.2,0.2,2.0,2.0,-1.0,0.9,0,1,1,3.441291432372201e-06,[56.01853578]
7,5,xc1 dx a1 d1 ex2,-0.7303395047005691,0.6157810883247579,-0.01,-0.02,0.5762061815938552,0.2,2.0,2.0,-1.0,0,-0.4913358561728019,8,8,3.419304962244766e-13,[55.99995383]
8,5,xc1 dx a1 d1 Ir,-2.6648052278807173,0.1,-0.01,-0.02,0.3118995227069679,0.2,2.0,2.0,-1.0,0,0,8,8,0.05783985366503626,[9.81323633]
9,5,xc1 dx a1 d2 ex1,1.7597149500200604,0.1,-0.01,-0.02,0.2,0.2,2.0,2.0,-1.0,0.9,0,1,1,3.441291432372201e-06,[56.01853578]
10,5,xc1 dx a1 d2 ex2,-0.7303395047005691,0.6157810883247579,-0.01,-0.02,0.5762061815938552,0.2,2.0,2.0,-1.0,0,-0.4913358561728019,8,8,3.419304962244766e-13,[55.99995383]
